Client County,Clients Served,Clients Served %,Average Age of Clients Served,Adolescents Clients Served ,Adolescents Clients Served %,Male Clients Served ,Male Clients Served %,Latino Clients Served ,Latino Clients Served %,White Clients Served , White Clients Served %,African American Clients Served , African American Black Clients Served %,Asian/Pacific Islander Clients served,Asian/Pacific Islander Clients Served %,Other (Including Native American) Clients Served ,Other (Including Native American) Clients Served %,Spanish Speaking Clients Served ,Spanish Speaking Clients Served %,English Speaking Clients Served ,English Speaking Clients Served %,Other Language ,Other Language  %,Total Revenues,Estimated Population,Revenues Per Capita,# of Birth,Population,Birth Rate,Federal Information Processing Standard (FIPS) Code,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2008-12","High school diploma only, 2008-12","Some college or associate's degree, 2008-12","Bachelor's degree or higher, 2008-12","Percent of adults with less than a high school diploma, 2008-12","Percent of adults with a high school diploma only, 2008-12","Percent of adults completing some college or associate's degree, 2008-12","Percent of adults with a bachelor's degree or higher, 2008-12","Less than a high school diploma, 2017-21","High school diploma only, 2017-21","Some college or associate's degree, 2017-21","Bachelor's degree or higher, 2017-21","Percent of adults with less than a high school diploma, 2017-21","Percent of adults with a high school diploma only, 2017-21","Percent of adults completing some college or associate's degree, 2017-21","Percent of adults with a bachelor's degree or higher, 2017-21",Revenue Score,Education Level Score,Education Level,SES Score,SES Level
Alameda,25206.333333333336,2.876666666666667,25.9,6376.8,23.860666666666667,3455.4,12.936000000000002,12058.0,48.05,3492.0666666666666,13.662666666666667,4287.866666666667,17.008000000000003,3761.1333333333337,14.902666666666667,1607.0,6.389333333333334,7131.4,28.344,17180.733333333334,68.12466666666667,894.2,3.524666666666667,3524273588.8,1661613.2,2120.0,17909.2,1665811.6,0.01074,6001.0,1.0,1.0,1.0,1.0,217589.0,197371.0,87675.0,86038.0,37.0,33.5,14.9,14.6,162536.0,215093.0,148837.0,151045.0,24.0,31.7,22.0,22.3,155606.0,190822.0,250389.0,241487.0,18.6,22.8,29.9,28.8,168281.0,181668.0,270813.0,332954.0,17.6,19.0,28.4,34.9,141402.0,199632.0,262546.0,421610.0,13.792760366371109,19.47268311239868,25.60949677620734,41.12505974502287,131272.0,198825.0,271096.0,592670.0,10.99556649297281,16.65392092727557,22.70746308412272,49.64304949562889,1.0,31.09979955824077,2.0,3.0,2.0
Alpine,41.4,0.07333333333333333,26.34666666666667,16.0,0.1,,,17.8,39.0155,14.666666666666666,31.583333333333332,,,,,,,14.0,33.33,27.8,68.41866666666667,,,20672511.8,1160.8,17818.8,11.0,1149.2,0.00194,6003.0,8.0,4.0,8.0,4.0,101.0,98.0,57.0,8.0,38.3,37.1,21.6,3.0,85.0,185.0,143.0,198.0,13.9,30.3,23.4,32.4,92.0,203.0,267.0,177.0,12.4,27.5,36.1,24.0,93.0,207.0,272.0,225.0,11.7,26.0,34.1,28.2,71.0,211.0,265.0,254.0,8.863920099875156,26.34207240948814,33.083645443196,31.710362047440704,61.0,249.0,278.0,381.0,6.29514963880289,25.696594427244584,28.689370485036125,39.3188854489164,2.0,30.103199174406605,1.0,3.0,2.0
Amador,206.86666666666665,0.076,27.54,77.83333333333333,17.03,35.666666666666664,4.883333333333333,47.6,27.756666666666668,141.33333333333331,62.989333333333335,,,,,17.333333333333332,5.2299999999999995,28.75,13.156500000000001,179.93333333333334,84.53266666666666,,,91241346.0,38546.6,2363.0,308.6,40047.6,0.0077,6005.0,6.0,4.0,6.0,4.0,2911.0,2314.0,1214.0,593.0,41.4,32.9,17.3,8.4,2987.0,5491.0,2760.0,1626.0,23.2,42.7,21.5,12.6,3616.0,7537.0,6593.0,2886.0,17.5,36.5,32.0,14.0,4096.0,7721.0,9479.0,4253.0,16.0,30.2,37.1,16.6,3612.0,8055.0,11783.0,5422.0,12.51039068994181,27.89900249376559,40.81116652812413,18.77944028816847,2757.0,9724.0,13052.0,6192.0,8.6903073286052,30.650906225374307,41.14105594956659,19.5177304964539,1.0,27.148620961386918,1.0,2.0,1.0
Butte,6395.733333333334,0.716,23.753333333333334,1348.2,19.572,620.7333333333333,9.26,1759.4666666666667,28.233333333333338,3728.1333333333328,57.27466666666667,235.66666666666669,3.817333333333333,307.73333333333335,4.881333333333333,364.73333333333335,5.784666666666667,398.46666666666664,6.258,5925.8,92.68666666666667,71.46666666666667,1.0486666666666666,507050212.8,219484.4,2330.6,2199.4,219237.8,0.01002,6007.0,3.0,2.0,3.0,2.0,24482.0,17743.0,8511.0,6299.0,42.9,31.1,14.9,11.0,24743.0,28587.0,19159.0,14742.0,28.4,32.8,22.0,16.9,25712.0,28746.0,38071.0,22379.0,22.4,25.0,33.1,19.5,22477.0,30853.0,45732.0,27674.0,17.7,24.3,36.1,21.8,18694.0,32246.0,56116.0,33788.0,13.272840873590642,22.89483400073841,39.84266280423731,23.98966232143365,13734.0,31704.0,54420.0,42309.0,9.660469729262065,22.30053387917027,38.27892548903754,29.760070902530124,1.0,28.813859756483577,1.0,2.0,1.0
Calaveras,157.73333333333332,0.076,28.28666666666667,47.333333333333336,16.033333333333335,16.45,8.638,41.86666666666667,29.186,102.46666666666667,62.283333333333324,,,,,16.0,3.9,24.066666666666666,17.366666666666667,130.66666666666669,81.09066666666668,,,113028514.0,45143.0,2503.6,390.6,45773.2,0.00852,6009.0,6.0,6.0,6.0,6.0,4164.0,2721.0,1127.0,651.0,48.1,31.4,13.0,7.5,3293.0,5630.0,3060.0,1915.0,23.7,40.5,22.0,13.8,4145.0,7372.0,7711.0,3242.0,18.4,32.8,34.3,14.4,4176.0,8346.0,11683.0,4996.0,14.3,28.6,40.0,17.1,2447.0,9964.0,14331.0,7016.0,7.248652171337165,29.51596658569821,42.45215948812133,20.7832217548433,3214.0,10815.0,13963.0,6959.0,9.195731166490228,30.94332064890847,39.95021601670911,19.91073216789219,1.0,27.05759491860033,1.0,2.0,1.0
Colusa,380.53333333333336,0.084,29.653333333333336,43.46666666666667,10.727333333333334,23.4,6.185333333333334,314.46666666666664,82.726,53.666666666666664,14.044,,,,,16.0,2.2,210.1333333333333,54.519999999999996,169.2,45.227999999999994,,,66233574.0,21986.6,3014.0,277.4,21630.8,0.01284,6011.0,6.0,4.0,6.0,4.0,3104.0,2188.0,1011.0,697.0,44.3,31.3,14.4,10.0,2719.0,2565.0,1457.0,947.0,35.4,33.4,19.0,12.3,3653.0,2476.0,2635.0,1090.0,37.1,25.1,26.7,11.1,3927.0,2635.0,3188.0,1162.0,36.0,24.1,29.2,10.6,3975.0,3205.0,4094.0,1762.0,30.49248235655109,24.58576250383553,31.40533906106168,13.5164160785517,3719.0,4246.0,3934.0,2043.0,26.674795581695598,30.454741070147755,28.21689857983073,14.653564768325918,1.0,23.084923253478696,0.0,1.0,0.0
Contra Costa,16608.4,1.8953333333333333,27.493333333333332,2450.666666666667,13.896666666666667,2091.1333333333337,11.948,8428.333333333334,50.86,3224.5333333333333,19.202,2215.266666666667,13.352666666666668,1603.0666666666666,9.655333333333333,1137.2,6.931333333333333,4845.933333333333,29.118666666666666,11128.6,67.00399999999999,633.8666666666667,3.8773333333333335,3620246715.8,1151928.0,3140.6,11947.2,1156769.6,0.01032,6013.0,1.0,1.0,1.0,1.0,96353.0,101602.0,50423.0,51659.0,32.1,33.9,16.8,17.2,73252.0,129454.0,95719.0,101933.0,18.3,32.3,23.9,25.5,72071.0,120589.0,171851.0,168205.0,13.5,22.6,32.3,31.6,81867.0,123956.0,200770.0,219048.0,13.1,19.8,32.1,35.0,80308.0,135454.0,216321.0,272186.0,11.40302924024769,19.23327592155838,30.715678242262538,38.64801659593138,82564.0,140633.0,227162.0,354661.0,10.25614270452908,17.46950386325806,28.21818091475988,44.05617251745299,1.0,30.60743832451368,1.0,2.0,1.0
Del Norte,289.2,0.084,21.133333333333333,159.13333333333333,53.81533333333333,19.4,6.258666666666667,62.93333333333332,22.172666666666665,174.4,59.564,,,25.0,4.9,38.0,13.506666666666666,25.333333333333336,8.583333333333332,261.93333333333334,90.834,,,80526903.6,27327.4,2945.2,270.4,27689.2,0.00976,6015.0,7.0,8.0,7.0,8.0,3970.0,2592.0,801.0,583.0,50.0,32.6,10.1,7.3,3579.0,4288.0,1920.0,1097.0,32.9,39.4,17.6,10.1,4385.0,4608.0,4592.0,1506.0,29.1,30.5,30.4,10.0,5235.0,5070.0,6126.0,2028.0,28.4,27.5,33.2,11.0,4152.0,5881.0,6954.0,2727.0,21.06117479963478,29.83159176219945,35.27442426701836,13.832809171147408,3825.0,6101.0,6601.0,3176.0,19.41328731665229,30.964827691214545,33.50251230777039,16.11937268436279,1.0,24.632797035984368,1.0,2.0,1.0
El Dorado,870.4,0.1,26.513333333333332,190.6,20.94,78.86666666666666,8.443333333333333,291.66666666666663,33.77066666666667,504.3333333333333,57.57666666666667,17.0,1.6133333333333333,29.333333333333336,3.368,34.2,4.012,160.6,18.538,694.6666666666667,79.76533333333333,18.6,1.9649999999999999,414821188.6,189918.0,2179.4,1570.2,191829.0,0.00816,6017.0,1.0,1.0,1.0,1.0,9251.0,9356.0,4194.0,2660.0,36.3,36.7,16.5,10.4,10246.0,20478.0,14179.0,9483.0,18.8,37.7,26.1,17.4,11928.0,24068.0,30869.0,17547.0,14.1,28.5,36.6,20.8,11480.0,23316.0,42371.0,27867.0,10.9,22.2,40.3,26.5,8667.0,28235.0,49705.0,39550.0,6.870011176549855,22.38084291795144,39.39931989505141,31.3498260104473,7421.0,28993.0,51667.0,51363.0,5.321849631393247,20.79185909755888,37.05214996701185,36.83414130403603,1.0,30.539858294369072,1.0,2.0,1.0
Fresno,17908.0,2.029333333333333,27.193333333333335,2858.8,15.409333333333333,2677.0,14.530666666666667,12668.866666666667,70.784,2496.5333333333333,13.802000000000001,1223.6666666666665,6.921333333333334,1029.2,5.76,489.7333333333334,2.743333333333333,5034.466666666666,27.519333333333332,12632.266666666666,71.16266666666667,241.26666666666665,1.3086666666666666,1953212631.4,1010806.8,1931.6,14163.8,1001099.2,0.01416,6019.0,2.0,2.0,2.0,2.0,100900.0,59798.0,30997.0,21697.0,47.3,28.0,14.5,10.2,104714.0,82455.0,57896.0,43785.0,36.3,28.5,20.0,15.2,130252.0,83536.0,106640.0,65308.0,33.8,21.7,27.6,16.9,147937.0,96097.0,131579.0,79927.0,32.5,21.1,28.9,17.5,148450.0,123605.0,167607.0,105942.0,27.208378237696206,22.65470927632495,30.71953284799965,19.41737963797919,136835.0,140532.0,201826.0,140183.0,22.09239621812921,22.68928728268451,32.5853762496448,22.63294024954147,1.0,25.575886053059854,1.0,2.0,1.0
